,id,year,latitude,longtitude,wall_type,floors,gutter_type,address,entrance,gas_supply_type,living_rooms,warming_type,cold_water_type,hot_water_type,square,not_living_square,common_hold_square,living_square,base_addr,dist,norm_addr
995,7931707,1956.0,55.51395,37.5299,"Каменные, кирпичные",2.0,Наружные водостоки,"г. Щербинка, ул. Авиаторов, д. 4",2.0,Центральное,12,Центральное,Центральное,Отсутствует,907.0,0.0,69.0,838.0,"город Щербинка, Симферопольская улица, дом 4",0.0,"город щербинка, улица авиаторов, дом_4"
4150,7952924,1967.0,55.8136,37.45262,Панельные,5.0,Внутренние водостоки,"проезд. Врачебный, д. 11, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3515.1,0.0,1070.3,3515.1,"Покровское-Стрешнево Врачебный проезд, дом 11, корпус 2",0.0,"проезд. врачебный, дом_11, корпус_2"
3831,7710298,1962.0,55.70785,37.75941,Панельные,5.0,Наружные водостоки,"пр-кт. Волгоградский, д. 109, к. 3",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3537.0,21.7,21.7,3515.3,"Волгоградский проспект, дом 109, корпус 3",0.0,"проспект волгоградский, дом_109, корпус_3"
12034,7591014,1964.0,55.71196,37.86376,Панельные,5.0,Наружные водостоки,"ул. Оренбургская, д. 22",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),5738.5,0.0,2176.4,3562.1,"Оренбургская улица, дом 22",0.0,"улица оренбургская, дом_22"
5257,7621977,1786.0,55.76758,37.6732,Смешанные,3.0,Наружные водостоки,"ул. Доброслободская, д. 10, стр. 4",3.0,Центральное,0,Центральное,Центральное,Центральное (закрытая система),598.4,0.0,0.0,598.4,"Доброслободская улица, дом 10, строение 4",0.3333333333333333,"улица доброслободская, дом_10, стр. 4"
16613,7564900,1961.0,55.87842,37.68159,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Тайнинская, д. 5",4.0,Центральное,130,Центральное,Центральное,Центральное (закрытая система),3192.0,0.0,1372.0,3192.0,"Тайнинская улица, дом 5",0.0,"улица тайнинская, дом_5"
12030,7591003,1963.0,55.71234,37.86194,Панельные,5.0,Наружные водостоки,"ул. Оренбургская, д. 16",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),6430.3,756.3,2173.2,3500.8,"Оренбургская улица, дом 16",0.0,"улица оренбургская, дом_16"
18897,7559794,1969.0,55.81304,37.81707,Панельные,5.0,Наружные водостоки,"ш. Щелковское, д. 85, к. 4",5.0,Центральное,100,Центральное,Центральное,Центральное (открытая система),5849.2,0.0,1353.2,4496.0,"Щёлковское шоссе, дом 85, корпус 4",0.0,"шоссе щелковское, дом_85, корпус_4"
8948,7954784,1963.0,55.84274,37.54603,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Лихоборские Бугры, д. 9, к. 2",2.0,Отсутствует,160,Центральное,Центральное,Центральное (закрытая система),3915.4,391.1,2232.7,3524.3,"улица Лихоборские Бугры, дом 9, корпус 2",0.0,"улица лихоборские бугры, дом_9, корпус_2"
12250,7719590,1963.0,55.82441,37.75411,Панельные,5.0,Наружные водостоки,"ш. Открытое, д. 21, к. 7",5.0,Центральное,100,Центральное,Центральное,Центральное (открытая система),4538.5,19.6,0.0,4518.9,"Открытое шоссе, дом 21, корпус 7",0.0,"шоссе открытое, дом_21, корпус_7"
8376,7556281,1968.0,55.74382,37.79113,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Кусковская, д. 43, к. 1",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),3399.6,0.0,3399.6,2217.1,"Кусковская улица, дом 43, корпус 1",0.0,"улица кусковская, дом_43, корпус_1"
15129,7920241,1964.0,55.86525,37.44551,Панельные,5.0,Наружные водостоки,"ул. Свободы, д. 89, к. 1",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4516.1,0.0,1362.8,4516.1,"улица Свободы, дом 89, корпус 1",0.0,"улица свободы, дом_89, корпус_1"
17297,8126710,1964.0,55.84447,37.44994,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Фабрициуса, д. 10, к. 1",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),3365.0,0.0,0.0,3365.0,"улица Фабрициуса, дом 10, корпус 1",0.0,"улица фабрициуса, дом_10, корпус_1"
16290,8098196,1958.0,55.76281,37.53852,Блочные,5.0,Наружные водостоки,"пер. Стрельбищенский, д. 19а",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2549.7,0.0,0.0,2549.7,"Стрельбищенский переулок, дом 19А",0.0,"переулок стрельбищенский, дом_19а"
6513,7598872,1964.0,55.62882,37.65455,Панельные,5.0,Наружные водостоки,"б-р. Кавказский, д. 38",5.0,Центральное,98,Центральное,Центральное,Центральное (закрытая система),4505.3,76.9,20.1,4408.3,"Кавказский бульвар, дом 38",0.0,"бульвар кавказский, дом_38"
3917,7717266,1962.0,55.70654,37.74979,Блочные,9.0,Внутренние водостоки,"б-р. Волжский, д. 19/48",1.0,Центральное,72,Центральное,Центральное,Центральное (закрытая система),2613.5,34.0,34.0,2579.5,"Волжский бульвар, дом 19/48",0.0,"бульвар волжский, дом_19/48"
18794,7762391,1962.0,55.70745,37.77516,Панельные,5.0,Наружные водостоки,"ул. Шумилова, д. 16",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4495.0,0.0,22.0,4473.0,"улица Шумилова, дом 16",0.0,"улица шумилова, дом_16"
12529,8041300,1962.0,55.80929,37.80623,Панельные,5.0,Внутренние водостоки,"ул. Парковая 11-я, д. 54, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3938.0,0.0,400.0,3537.6,"11-я Парковая улица, дом 54, корпус 2",0.0,"улица парковая 11-я, дом_54, корпус_2"
220,8088274,1957.0,55.65738,37.33879,"Каменные, кирпичные",2.0,Отсутствует,"п. дск Мичуринец, ул. Погодина, д. 1",2.0,Центральное,8,Центральное,Центральное,Центральное (открытая система),460.3,0.0,141.3,319.0,"поселение Внуковское, посёлок ДСК Мичуринец, улица Погодина, дом 3",0.4444444444444444,"поселок  дск мичуринец, улица погодина, дом_1"
15223,7556150,1962.0,55.6552,37.56544,Блочные,5.0,Наружные водостоки,"пр-кт. Севастопольский, д. 46, к. 4",4.0,Отсутствует,80,Центральное,Центральное,Центральное (закрытая система),3526.2,0.0,1067.8,3526.2,"Севастопольский проспект, дом 46, корпус 4",0.0,"проспект севастопольский, дом_46, корпус_4"
14503,7569470,1964.0,55.68301,37.69093,"Каменные, кирпичные",5.0,Внутренние водостоки,"ул. Речников, д. 20, к. 1",4.0,Отсутствует,80,Центральное,Центральное,Центральное (закрытая система),3473.9,0.0,1937.8,3429.1,"улица Речников, дом 20, корпус 1",0.0,"улица речников, дом_20, корпус_1"
13466,7920184,1964.0,55.86563,37.43924,Панельные,5.0,Наружные водостоки,"ул. Планерная, д. 16, к. 2",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4507.0,0.0,1353.9,4507.0,"Планерная улица, дом 16, корпус 2",0.0,"улица планерная, дом_16, корпус_2"
572,9099981,1972.0,55.63143,37.48988,"Каменные, кирпичные",3.0,Отсутствует,"д. Мамыри, тер. Военный городок Теплый стан, д. 1",4.0,Центральное,42,Центральное,Центральное,Центральное (закрытая система),2058.7,179.0,179.0,1905.7,"поселение Мосрентген, Военный городок, улица Теплый Стан, дом 85",0.6666666666666666,"д. мамыри, тер. военный городок теплый стан, дом_1"
9405,7648024,1962.0,55.77706,37.49794,"Каменные, кирпичные",5.0,Наружные водостоки,"пр-кт. Маршала Жукова, д. 8, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3432.6,22.5,0.0,3410.1,"проспект Маршала Жукова, дом 8, корпус 2",0.0,"проспект маршала жукова, дом_8, корпус_2"
6775,7647378,1964.0,55.8965,37.53398,"Каменные, кирпичные",5.0,Наружные водостоки,"б-р. Карельский, д. 23, к. 1",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3411.0,0.0,2048.0,3411.0,"Карельский бульвар, дом 23, корпус 1",0.0,"бульвар карельский, дом_23, корпус_1"
5645,7602502,1965.0,55.62979,37.66922,Панельные,5.0,Наружные водостоки,"ул. Ереванская, д. 6, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3628.1,0.0,20.8,3607.3,"Ереванская улица, дом 6, корпус 2",0.0,"улица ереванская, дом_6, корпус_2"
6609,7574391,1961.0,55.73309,37.70057,"Каменные, кирпичные",5.0,Не заполнено,"ул. Калитниковская Ср., д. 51, к. 1",4.0,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,2958.9,427.7,0.0,0.0,"Средняя Калитниковская улица, дом 51, корпус 1",0.3333333333333333,"улица калитниковская ср., дом_51, корпус_1"
12253,7914182,1963.0,55.82643,37.75562,Панельные,5.0,Наружные водостоки,"ш. Открытое, д. 21, к. 10",3.0,Центральное,60,Центральное,Центральное,Центральное (открытая система),2576.5,19.2,0.0,2557.3,"Открытое шоссе, дом 21, корпус 10",0.0,"шоссе открытое, дом_21, корпус_10"
233,7862160,1990.0,55.61156,37.47099,Панельные,5.0,Внутренние водостоки,"п. завода Мосрентген, ул. Соломатина, д. 15",1.0,Отсутствует,39,Центральное,Центральное,Центральное (открытая система),2384.0,0.0,936.0,1448.0,"поселение Мосрентген, посёлок Завода Мосрентген, улица Героя России Соломатина, дом 15",0.3333333333333333,"поселок  завода мосрентген, улица соломатина, дом_15"
518,9329258,1928.0,55.58328,37.11718,"Каменные, кирпичные",2.0,Отсутствует,"п. Крекшино, ул. Железнодорожная 1-я, д. 3",1.0,Центральное,4,Отсутствует,Отсутствует,Отсутствует,290.5,78.3,78.3,212.2,"поселение Марушкинское, посёлок станции Крёкшино, 1-я Железнодорожная улица, дом 8",0.45454545454545453,"поселок  крекшино, улица железнодорожная 1-я, дом_3"
2493,7929362,1964.0,55.87248,37.54384,Блочные,5.0,Наружные водостоки,"б-р. Бескудниковский, д. 51",6.0,Центральное,119,Центральное,Центральное,Центральное (закрытая система),5221.4,0.0,1593.0,5182.4,"Бескудниковский бульвар, дом 51",0.0,"бульвар бескудниковский, дом_51"
17951,8128147,1950.0,55.77682,37.52863,"Каменные, кирпичные",3.0,Наружные водостоки,"ш. Хорошевское, д. 23, к. 1",3.0,Центральное,16,Центральное,Центральное,Центральное (открытая система),2493.6,1047.1,0.0,1446.5,"Хорошёвское шоссе, дом 23, корпус 1",0.0,"шоссе хорошевское, дом_23, корпус_1"
4516,7920094,1966.0,55.85739,37.41689,Панельные,5.0,Наружные водостоки,"ул. Героев Панфиловцев, д. 27, к. 1",6.0,Центральное,112,Центральное,Центральное,Центральное (закрытая система),5105.4,190.0,1563.0,4915.4,"улица Героев Панфиловцев, дом 27, корпус 1",0.0,"улица героев панфиловцев, дом_27, корпус_1"
11072,8041322,1960.0,55.80699,37.77466,Панельные,5.0,Наружные водостоки,"ул. Никитинская, д. 26, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3565.8,50.4,2307.0,3515.4,"Никитинская улица, дом 26, корпус 2",0.0,"улица никитинская, дом_26, корпус_2"
3524,7556181,1961.0,55.68442,37.59639,Панельные,5.0,Наружные водостоки,"ул. Винокурова, д. 24, к. 1",4.0,Центральное,78,Центральное,Центральное,Центральное (закрытая система),4123.2,664.7,0.0,3467.5,"улица Винокурова, дом 24, корпус 1",0.0,"улица винокурова, дом_24, корпус_1"
7598,7929485,1965.0,55.86844,37.54017,Блочные,5.0,Наружные водостоки,"ш. Коровинское, д. 4, к. 2",6.0,Центральное,119,Центральное,Центральное,Центральное (закрытая система),5255.7,0.0,1612.4,5188.7,"Коровинское шоссе, дом 4, корпус 2",0.0,"шоссе коровинское, дом_4, корпус_2"
18512,7583591,1965.0,55.81384,37.8102,Панельные,5.0,Наружные водостоки,"ул. Чусовская, д. 11, к. 2",6.0,Центральное,120,Центральное,Центральное,Центральное (закрытая система),5104.6,0.0,0.0,5104.6,"Чусовская улица, дом 11, корпус 2",0.0,"улица чусовская, дом_11, корпус_2"
