,id,address,base_addr,dist
13534,8098667,"проезд. Красногвардейский 1-й, д. 20А","1-й Красногвардейский проезд, дом 20А",0.2857142857142857
6594,8643746,"улица Владимирская 2-я, д. 27","2-я Владимирская улица, дом 27",0.2857142857142857
12576,7881477,"улица Кожуховская 5-я, д. 4","5-я Кожуховская улица, дом 4",0.2857142857142857
28383,7602198,"улица Текстильщиков 8-я, д. 19","8-я улица Текстильщиков, дом 19",0.2857142857142857
17469,8152605,"переулок Михалковский 3-й, д. 9","3-й Михалковский переулок, дом 9",0.2857142857142857
1953,7564343,"проспект 40 лет Октября, д. 6","проспект 40 лет Октября, дом 6",0.2857142857142857
15577,7670968,"проезд. Люберецкий 1-й, д. 9А","1-й Люберецкий проезд, дом 9А",0.2857142857142857
14538,7653661,"улица Лазенки 6-я, д. 8","6-я улица Лазенки, дом 8",0.2857142857142857
16536,7721994,"улица Маршала Чуйкова, д. 18/50","улица Маршала Чуйкова, дом 18/50",0.2857142857142857
19541,8100625,"проезд. Новомихалковский 1-й, д. 14","1-й Новомихалковский проезд, дом 14",0.2857142857142857
12613,7627637,"улица Кожуховская 6-я, д. 16","6-я Кожуховская улица, дом 16",0.2857142857142857
13536,8098673,"проезд. Красногвардейский 2-й, д. 4","2-й Красногвардейский проезд, дом 4",0.2857142857142857
12575,7875126,"улица Кожуховская 5-я, д. 3","5-я Кожуховская улица, дом 3",0.2857142857142857
12616,7628327,"улица Кожуховская 6-я, д. 19","6-я Кожуховская улица, дом 19",0.2857142857142857
6568,7680636,"улица Владимирская 2-я, д. 9А","2-я Владимирская улица, дом 9А",0.2857142857142857
11771,7574456,"улица Карачаровская 2-я, д. 8","2-я Карачаровская улица, дом 8",0.2857142857142857
6567,7680630,"улица Владимирская 2-я, д. 9","2-я Владимирская улица, дом 9",0.2857142857142857
7837,8022934,"улица Генерала Рычагова, д. 28/9","улица Генерала Рычагова, дом 28/9",0.2857142857142857
21517,8042279,"улица Парковая 15-я, д. 60","15-я Парковая улица, дом 60",0.2857142857142857
13538,8098677,"проезд. Красногвардейский 2-й, д. 6А","2-й Красногвардейский проезд, дом 6А",0.2857142857142857
14271,8905549,"улица Курьяновская 3-я, д. 9","3-я Курьяновская улица, дом 9",0.2857142857142857
19538,8022418,"проезд. Новомихалковский 1-й, д. 8","1-й Новомихалковский проезд, дом 8",0.2857142857142857
21709,7561952,"улица Парковая 6-я, д. 22","6-я Парковая улица, дом 22",0.2857142857142857
6607,8643766,"улица Владимирская 2-я, д. 35","2-я Владимирская улица, дом 35",0.2857142857142857
13767,7786637,"переулок Красносельский 3-й, д. 6","3-й Красносельский переулок, дом 6",0.2857142857142857
1954,7566305,"проспект 40 лет Октября, д. 8","проспект 40 лет Октября, дом 8",0.2857142857142857
21716,8246671,"улица Парковая 6-я, д. 29б","6-я Парковая улица, дом 29Б",0.2857142857142857
6666,8644072,"улица Владимирская 3-я, д. 30","3-я Владимирская улица, дом 30",0.2857142857142857
29785,7589221,"улица Фрезерная 2-я, д. 6","2-я Фрезерная улица, дом 6",0.2857142857142857
17479,8152630,"переулок Михалковский 3-й, д. 19","3-й Михалковский переулок, дом 19",0.2857142857142857
23953,7554201,"улица Прядильная 3-я, д. 10","3-я Прядильная улица, дом 10",0.2857142857142857
16736,8117814,"бульвар Матроса Железняка, д. 17/14","бульвар Матроса Железняка, дом 17/14",0.2857142857142857
18897,7645818,"проезд. Нижнелихоборский 3-й, д. 8","3-й Нижнелихоборский проезд, дом 8",0.2857142857142857
16339,7683784,"бульвар Маршала Рокоссовского, д. 27/20","бульвар Маршала Рокоссовского, дом 27/20",0.2857142857142857
6601,8643756,"улица Владимирская 2-я, д. 31","2-я Владимирская улица, дом 31",0.2857142857142857
25255,7742499,"переулок Самотечный 3-й, д. 10","3-й Самотёчный переулок, дом 10",0.2857142857142857
19567,8022519,"проезд. Новомихалковский 4-й, д. 7","4-й Новомихалковский проезд, дом 7",0.2857142857142857
6591,8643743,"улица Владимирская 2-я, д. 25","2-я Владимирская улица, дом 25",0.2857142857142857
26272,8816756,"улица Синичкина 2-я, д. 16","2-я улица Синичкина, дом 16",0.2857142857142857
14539,7653666,"улица Лазенки 6-я, д. 9","6-я улица Лазенки, дом 9",0.2857142857142857
21663,8041722,"улица Парковая 5-я, д. 43","5-я Парковая улица, дом 43",0.2857142857142857
